symbol,title,ambiguous_ticker,ambiguous_title
ivac,intevac,False,False
chln,china,False,True
pwrd,perfect,False,True
lyg,lloyds,False,False
lscc,lattice,False,True
atmi,atmi,False,False
faro,faro,True,True
hon,honeywell,True,False
jbl,jabil,False,False
ravn,raven,False,True
sqnm,sequenom,False,False
stei,stewart,False,True
unp,union,False,True
lxk,lexmark,False,False
atml,atmel,False,False
ews,ishares,False,False
fund,royce,True,False
yuii,yuhe,False,False
tmx,telefonos,False,False
aeg,aegon,False,False
txn,texas,False,True
gwl,spdr,False,False
gfa,gafisa,False,False
dtv,directv,False,False
dish,dish,True,True
cmpr,cimpress,False,False
driv,digital,False,True
glw,corning,False,True
odp,office,False,True
vrsk,verisk,False,False
swi,"solarwinds,",False,False
rue,"rue21,",True,False
h,hyatt,True,False
gsm,globe,False,True
cld,cloud,False,True
bsbr,banco,False,True
sgen,seattle,False,False
stan,standard,True,True
inwk,innerworkings,False,False
bqi,oilsands,False,False
tact,transact,True,True
au,anglogold,False,False
gg,goldcorp,False,False
nexs,nexxus,False,False
ewc,ishares,False,False
ewg,ishares,False,False
ewu,ishares,False,False
y,alleghany,True,False
tlr,timberline,False,False
mat,mattel,True,False
rci,rogers,False,False
mac,macerich,True,False
wavx,wave,False,True
bap,credicorp,True,False
scl,stepan,False,False
jst,jinpan,False,False
jdas,jda,False,False
hdb,hdfc,False,False
drq,"dril-quip,",False,False
ctrp,ctrip.com,False,False
chsi,catalyst,False,True
wit,wipro,True,False
moo,vaneck,True,False
mjn,mead,False,True
tmo,thermo,False,True
axl,american,False,True
stem,stemcells,True,False
gern,geron,False,False
tgt,target,False,True
trcr,transcend,False,True
ng,novagold,False,False
bbep,breitburn,False,False
ccalf,cascal,False,False
wtr,aqua,False,True
ipe,spdr,False,False
zlc,zale,False,False
man,manpower,True,False
mr,mindray,True,False
jcp,j.,False,False
kss,kohl's,False,False
acer,acer,True,True
trn,trinity,False,True
sqm,chemical,False,True
chng,china,False,True
tdc,teradata,False,False
vrx,valeant,False,False
dig,proshares,True,False
wave,nextwave,True,False
baby,natus,True,False
blud,immucor,False,False
cake,the,True,True
fun,cedar,True,True
woof,vca,True,False
qcco,qc,False,False
pru,prudential,False,True
ipsu,imperial,False,True
grt,glimcher,False,False
pvx,provident,False,True
rso,resource,False,True
bjk,market,False,True
ycs,proshares,False,False
dgi,"digitalglobe,",False,False
dpo,dow,False,True
pcn,pimco,False,False
pty,pimco,False,False
heb,hemispherx,False,False
isle,isle,True,True
penn,penn,False,False
mni,the,False,True
sina,sina,True,True
plnr,planar,False,True
axas,abraxas,False,True
ntri,nutrisystem,False,False
gaptq,the,False,True
hum,humana,True,False
snx,synnex,False,False
teo,telecom,False,False
ish,international,False,True
aria,ariad,True,False
cyd,china,False,True
cmi,cummins,False,False
cntf,china,False,True
tra,terra,True,False
tues,tuesday,False,True
eca,encana,False,False
eww,ishares,False,False
mso,martha,False,True
amn,amn,False,False
